프로그램구분,기관,일련번호,지역,국가명,대학명(국문),대학명(영문),최소 학점,어학성적,특이사항,참고사항,수학가능학과/영어강의목록 등,Factsheet 여부,교환학생수기 여부,유의사항,웹사이트 
일반교환,자매대학,E0008,북미,캐나다,컨커디어대,Concordia University,3.3,A-1,"* TOEIC/TOEFL ITP 제외
* TOEFL iBT 각 영역별 20 이상
※ English Literature 학과: 
   TOEFL iBT 110 이상 
   Journalism and Communication
   Studies 학과:  TOEFL iBT 100 이상
* IELTS 각 영역 별 6.5 이상 필요
* 토플 홈에디션 인정","* 위치: Montreal, Quebec, Canada
* 특징: Quebec 州 에 위치한 연구 중심 공립 대학 
          학생 수 약 47,000명, 등록금 약 CAD 12,000/학기
          캐나다 경영대학 순위 10위권 내 
          #601-800 THE World University Rankings 2020","★ 수학가능학과: Arts&Science, Fine Arts, The John Molson School of Business, Gina Cody School of Engineering and Computer Science
* 첨부파일(Course List) 참조, 일부 수강제한있음

★ 수강가능과목(2021): 국제팀 홈페이지_커뮤니티_자매대학소개_첨부 파일(Course List) 참조","Y(2020)
/ COURSE LIST(2021)",Y(2013-2019),★ 2학기만 파견 가능 ,https://www.concordia.ca/international/visiting-exchange/study-exchange.html
일반교환,자매대학,E0009,북미,캐나다,"퀘백대, 몬트리올","Université du Québec, Montréal",,D-1,프랑스어 필수,"* 위치: Montreal, Quebec, Canada
* 특징: Quebec 州 에 위치한 연구 중심 공립 대학 
          학생 수 약 44,000명, 등록금 약 CAD 8,200/학기
          캐나다 경영대학 순위 10위권 내 
          #601-800 THE World University Rankings 2020","★ 수학가능학과: Arts, Communication, Education, Management, Political Science and Law, Science, Social Science

★ 수강가능과목(2024): https://etudier.uqam.ca/cours-pour-tous
* 각 과목의 수강요건 확인 필요",Y(2022),x,★ 2학기만 파견 가능 ,https://uqam.ca/
일반교환,자매대학,E0011,유럽,그리스,아테네경제경영대,Athens University of Economics and Business,,"IELTS 6.0
TOEFL (IBT) 80",TOEIC/TOEFL ITP 제외 ,"* 위치: Athens
* 특징: 학생 수 약 3,000명
          #801-1,000 QS Global World Ranking 2020","★ 수학가능학과: (School of Economics Sciences)International and European Economic Studies, Economics, (School of Business)Management Science and technology, Business Administration, Accounting and Finance, Marketing and Communication,
(School of Information Sciences and Technology)Informatics, statistics

★ 수강가능과목(2022-2023): 국제팀 홈페이지_커뮤니티_자매대학소개_첨부파일(List of Courses Offered in English) 참조",Y(2021),Y(2018),,https://www.aueb.gr/en/content/international-relations-office
일반교환,자매대학,E0012,유럽,네덜란드,폰티스대,Fontys University of Applied Sciences ,,"TOEFL(IBT) 80
IELTS 6.0","TOEIC/TOEFL ITP 제외
* 토플 홈에디션 인정","* 위치: Eindhoven, Tilburg, Venlo
* 특징: 학생 수 약 28,000명
     건축학부/대학원수업만 수강 가능하므로 고학년만 지원 가능 ","★ 수학가능학과: Art_Communication&Design, Fine Arts&Education

★ 수강가능과목(2018): 첨부 파일(Exchange Students programme) 참조",Y(2018),x,,https://fontys.edu/Exchange-programmes-5.htm 
일반교환,자매대학,E0015,오세아니아,호주,찰스스터트대,Charles Sturt University,,A-2,TOEIC/TOEFL ITP 제외 ,"* 위치: Albury-Wodonga, Bathurst, Dubbo, Orange, Port Macquarie, Wagga Wagga
* 특징: New South Wales 州 에 위치한 연구 중심 공립 대학 
          학생 수 약 47,000명, 등록금 약 AUD 29,000
          캐나다 경영대학 순위 10위권 내 
          #801-1,000 QS Global World Ranking 2020","★ 수학가능학과: 하단 사이트에서 각 학과를 선택하면핵심정보(Key information)에 국제 학생(International students)이 수강 가능 캠퍼스가 기재되어있음
* 한 곳의 캠퍼스에서만 수강 과목 선택 가능함
* 수강 과목들의 수업기간(Session)이 동일해야함

★ 수강가능과목(2021): https://study.csu.edu.au/international/courses/all?level=undergraduate",Y(2020),Y(2016-2018),,https://study.csu.edu.au/international
일반교환,자매대학,E0017,유럽,네덜란드,티오대,Tio University of Applied Sciences,,영어 B2,,"* 위치: Amsterdam, Rotterdam, Eindhoven, Utrecht
* 특징: 학생 수 약 2,000명","★ 수학가능학과:
(모듈 종류)Hospitality management, International tourism management, International business, International financial management, Digital marketing, Marketing communication, Sales, Stocks & bonds, Research, Elective courses
*파견기간별 모듈명 상이함
*하단 링크참조, 일정 과목으로 구성된 모듈 선택하여 수강

★ 수강가능과목(2023): https://www.tio.nl/en/exchange/course-catalogue/#title",Y(2021),Y(2015-2020),,http://www.tio.nl/en/studychoice/exchange
일반교환,자매대학,E0018,유럽,덴마크,UCSD,University College South Denmark,,"TOEFL(IBT) 80
IELTS 6.0
TOEIC 850",,"* 위치: Esbjerg, Kolding, Haderslev, Aabenraa and Sønderborg
* 특징: 학생 수 약 6,500명
","★ 수학가능학과: English and Marketing Coummunication
*파견학기별 수학가능학과가 변경될 수 있음

★ 수강가능과목(2017): English, Visual Communication and Design, Marketing, Communication",Y(2017),Y(2014-2015),,https://www.ucsyd.dk/international
일반교환,자매대학,E0020,유럽,독일,DHBW,"Baden-Wuerttemberg Cooperative State
University Heidenheim",,영어 B2,,"* 위치: Heidenheim (뮌헨에서 기차로 약 2시간 거리)
* 특징: 학생 수 약 2,400명  
          쿼터제 대학으로 겨울&봄(1월~6월) 또는 여름&가을(6월~12월) 2학기 수학
          상대교 주 정부 장학금 수혜 가능성 있음. ","★ 수학가능학과: (일부과목 영어사용) Business
★ 수강가능과목(2023-2024): 영어, 독일어
https://www.heidenheim.dhbw.de/fileadmin/Heidenheim/Englisch/Study-Program/Module_AIS.pdf",Y(2024),Y(2016-2019),,https://www.heidenheim.dhbw.de/en/home/study-program#tab-7855-1
일반교환,자매대학,E0022,유럽,네덜란드,헤이그대,The Hague University of Applied Sciences,,A-2,TOEIC/TOEFL ITP 제외 ,"* 위치: The Hague
* 특징: 연구 중심 공립 대학
          학생 수 약 26,000명
","★ 수학가능학과: 
Faculty of Business, Finance&Marketing
International Business
Faculty of Technology, Innovation & Society 
Technology, Innovation and Society
* 일부과목 수강가능

★ 수강가능과목(2021): 
https://www.thehagueuniversity.com/programmes/other-courses/exchange-programmes/what-can-i-study",Y(2021),Y(2014-2019),,https://www.thehagueuniversity.com/programmes/other-courses/exchange-programmes
일반교환,자매대학,E0024,유럽,독일,푸르트방겐대,Furtwangen University of Applied Sciences,,"영어 B2
독일어 E2",TOEIC/TOEFL ITP 제외 ,"* 위치: Furtwangen, villingen-Schwenningen, Tuttlingen
* 특징: 학생 수 약 6,000명     ","★ 수학가능학과: International Business Management, International Business Information Systems
* 일부과목 수강가능

★ 수강가능과목(2022): 영어, 독일어
https://www.hs-furtwangen.de/en/planning/international/programmes-taught-in-english/",Y(2023),Y(2019-2023),"* Baden-Württemberg Scholarship 기회 제공: EUR 934/월, 4~5개월 수혜(상대교에서 수혜자 선발)",https://www.hs-furtwangen.de/en/planning/international/international-students/
